data,marca,modelo,ano,km,preco
15/03/2024,FIAT,ARGO DRIVE 1.0 4P,"2022/2022
 ","18.503 km
 ",R$ 69.290
15/03/2024,FIAT,MOBI LIKE 1.0,"2022/2023
 ","60.230 km
 ",R$ 52.490
15/03/2024,VOLKSWAGEN,VOYAGE MPI 1.0 4P,"2021/2022
 ","58.239 km
 ",R$ 58.190
15/03/2024,FIAT,ARGO FLEX 1.0 4P,"2022/2023
 ","64.453 km
 ",R$ 62.890
15/03/2024,MITSUBISHI,ECLIPSE CROSS HPE 1.5,"2022/2023
 ","47.270 km
 ",R$ 146.990
15/03/2024,FIAT,MOBI LIKE 1.0,"2022/2023
 ","43.000 km
 ",R$ 52.490
15/03/2024,RENAULT,KWID ZEN 1.0,"2021/2022
 ","43.443 km
 ",R$ 53.490
15/03/2024,CHEVROLET,ONIX PLUS TURBO LTZ MT 1.0 4P,"2022/2023
 ","30.035 km
 ",R$ 87.390
15/03/2024,VOLKSWAGEN,VOYAGE 1.6,"2021/2022
 ","15.608 km
 ",R$ 69.190
15/03/2024,RENAULT,DUSTER EXPRESSION AT SCE 1.6 4P,"2019/2020
 ","50.706 km
 ",R$ 78.890
15/03/2024,VOLKSWAGEN,GOL MPI 1.0 4P,"2022/2023
 ","47.931 km
 ",R$ 59.390
15/03/2024,VOLKSWAGEN,GOL MPI MT 1.6 4P,"2020/2021
 ","88.690 km
 ",R$ 54.190
15/03/2024,FIAT,CRONOS DRIVE 1.3,"2022/2022
 ","42.120 km
 ",R$ 77.390
15/03/2024,HYUNDAI,HB20 VISION 1.0 4P,"2022/2022
 ","41.885 km
 ",R$ 66.290
15/03/2024,FIAT,STRADA CP ENDURANCE FLEX 1.4 2P,"2022/2022
 ","25.980 km
 ",R$ 79.390
15/03/2024,MITSUBISHI,ECLIPSE CROSS GLS 1.5,"2022/2023
 ","39.611 km
 ",R$ 131.590
15/03/2024,VOLKSWAGEN,JETTA R-LINE 250 TSI 1.4 4P,"2019/2020
 ","49.039 km
 ",R$ 122.900
15/03/2024,FIAT,TORO ENDURANCE FLEX MT 4X2 1.8 4P,"2020/2020
 ","37.115 km
 ",R$ 95.900
15/03/2024,VOLKSWAGEN,GOL MPI 1.0 4P,"2019/2020
 ","20.283 km
 ",R$ 55.390
15/03/2024,HYUNDAI,HB20 COMFORT 1.0,"2022/2023
 ","61.765 km
 ",R$ 67.490
15/03/2024,FIAT,MOBI LIKE 1.0,"2022/2023
 ","75.411 km
 ",R$ 52.490
15/03/2024,FIAT,ARGO FLEX 1.0 4P,"2021/2022
 ","37.220 km
 ",R$ 64.090
15/03/2024,VOLKSWAGEN,GOL MPI 1.0 4P,"2021/2022
 ","73.549 km
 ",R$ 53.190
15/03/2024,FIAT,ARGO FLEX 1.0 4P,"2022/2023
 ","77.416 km
 ",R$ 64.090
15/03/2024,VOLKSWAGEN,VIRTUS MSI AT 1.6 4P,"2019/2020
 ","77.416 km
 ",R$ 74.690
15/03/2024,FIAT,MOBI LIKE 1.0 4P,"2022/2022
 ","56.781 km
 ",R$ 54.090
15/03/2024,FIAT,ARGO FLEX 1.0 4P,"2022/2023
 ","59.666 km
 ",R$ 64.490
15/03/2024,RENAULT,KWID ZEN 1.0,"2022/2023
 ","56.672 km
 ",R$ 54.690
15/03/2024,VOLKSWAGEN,VOYAGE 1.0,"2022/2023
 ","49.288 km
 ",R$ 57.990
15/03/2024,CHEVROLET,ONIX PLUS TURBO LTZ MT 1.0 4P,"2021/2022
 ","39.669 km
 ",R$ 80.990
15/03/2024,FIAT,ARGO DRIVE 1.0,"2022/2023
 ","45.086 km
 ",R$ 65.990
15/03/2024,FIAT,CRONOS DRIVE 1.3 4P,"2022/2022
 ","52.682 km
 ",R$ 76.990
15/03/2024,FIAT,CRONOS DRIVE 1.0,"2022/2023
 ","57.985 km
 ",R$ 69.990
15/03/2024,CITROEN,C3 FEEL 1.0,"2022/2023
 ","39.683 km
 ",R$ 72.790
15/03/2024,FIAT,MOBI LIKE 1.0 4P,"2022/2023
 ","62.593 km
 ",R$ 54.790
15/03/2024,CITROEN,C4 CACTUS FEEL AT 1.6 4P,"2022/2023
 ","40.120 km
 ",R$ 87.790
15/03/2024,FIAT,CRONOS DRIVE 1.3,"2022/2022
 ","40.243 km
 ",R$ 77.490
15/03/2024,FIAT,MOBI LIKE 1.0,"2021/2022
 ","56.354 km
 ",R$ 53.490
15/03/2024,CHEVROLET,ONIX JOY PLUS BLACK 1.0,"2021/2021
 ","69.456 km
 ",R$ 64.790
15/03/2024,VOLKSWAGEN,VOYAGE 1.6,"2021/2022
 ","72.963 km
 ",R$ 63.090
15/03/2024,FIAT,ARGO FLEX 1.0 4P,"2022/2022
 ","65.625 km
 ",R$ 61.900
15/03/2024,VOLKSWAGEN,GOL MPI 1.0 4P,"2022/2023
 ","47.916 km
 ",R$ 59.290
15/03/2024,VOLKSWAGEN,GOL MPI 1.0 4P,"2022/2023
 ","68.410 km
 ",R$ 57.490
15/03/2024,VOLKSWAGEN,T-CROSS 200 TSI AT 1.0 4P,"2022/2022
 ","45.430 km
 ",R$ 102.990
15/03/2024,RENAULT,LOGAN ZEN 1.0,"2022/2023
 ","48.120 km
 ",R$ 63.690
15/03/2024,FIAT,MOBI LIKE 1.0,"2022/2023
 ","52.781 km
 ",R$ 52.490
15/03/2024,FIAT,ARGO DRIVE 1.0,"2022/2023
 ","52.296 km
 ",R$ 65.990
15/03/2024,FIAT,ARGO 1.0,"2022/2023
 ","49.048 km
 ",R$ 61.490
15/03/2024,VOLKSWAGEN,VOYAGE 1.0,"2022/2023
 ","49.913 km
 ",R$ 57.990
15/03/2024,VOLKSWAGEN,VOYAGE 1.0,"2022/2023
 ","56.190 km
 ",R$ 57.990
15/03/2024,CITROEN,C3 FEEL 1.0,"2022/2023
 ","40.102 km
 ",R$ 72.690
15/03/2024,FIAT,MOBI LIKE 1.0,"2022/2023
 ","48.817 km
 ",R$ 52.490
15/03/2024,FIAT,CRONOS DRIVE 1.0,"2022/2023
 ","61.966 km
 ",R$ 69.990
15/03/2024,FIAT,ARGO DRIVE 1.0,"2022/2023
 ","54.637 km
 ",R$ 65.990
15/03/2024,FIAT,NOVA STRADA ENDURANCE CABINE PLUS 1.4,"2022/2022
 ","48.989 km
 ",R$ 74.990
15/03/2024,HYUNDAI,HB20S EVOLUTION 1.0,"2022/2022
 ","48.892 km
 ",R$ 73.990
15/03/2024,FIAT,MOBI LIKE 1.0,"2022/2023
 ","49.995 km
 ",R$ 52.490
15/03/2024,HYUNDAI,HB20S COMFORT 1.0,"2022/2023
 ","62.636 km
 ",R$ 75.390
15/03/2024,HYUNDAI,HB20 LIMITED 1.0,"2022/2023
 ","50.032 km
 ",R$ 69.990
15/03/2024,FIAT,MOBI LIKE 1.0,"2022/2023
 ","51.169 km
 ",R$ 52.490
15/03/2024,HYUNDAI,HB20S EVOLUTION 1.0,"2022/2022
 ","46.915 km
 ",R$ 74.190
15/03/2024,FIAT,ARGO 1.0,"2022/2023
 ","48.206 km
 ",R$ 61.490
15/03/2024,FIAT,ARGO DRIVE 1.0,"2022/2023
 ","53.346 km
 ",R$ 65.990
15/03/2024,FIAT,MOBI LIKE 1.0,"2022/2023
 ","46.110 km
 ",R$ 52.490
15/03/2024,TOYOTA,COROLLA XEI 2.0,"2022/2023
 ","45.969 km
 ",R$ 128.990
15/03/2024,VOLKSWAGEN,GOL MPI 1.0 4P,"2022/2023
 ","19.952 km
 ",R$ 61.990
15/03/2024,VOLKSWAGEN,VIRTUS COMFORTLINE 200 TSI AT 1.0 4P,"2021/2021
 ","75.254 km
 ",R$ 83.890
15/03/2024,FIAT,ARGO DRIVE 1.0,"2022/2023
 ","48.382 km
 ",R$ 65.990
15/03/2024,JEEP,COMPASS LONGITUDE 1.3,"2022/2022
 ","45.224 km
 ",R$ 136.990
15/03/2024,PEUGEOT,208 HATCH ALLURE 1.6,"2022/2023
 ","42.067 km
 ",R$ 83.690
15/03/2024,FIAT,ARGO DRIVE 1.0,"2022/2022
 ","39.303 km
 ",R$ 66.990
15/03/2024,HYUNDAI,HB20 COMFORT 1.0,"2022/2023
 ","50.326 km
 ",R$ 67.490
15/03/2024,FIAT,ARGO 1.0,"2022/2023
 ","47.305 km
 ",R$ 61.490
15/03/2024,JEEP,RENEGADE SPORT 1.3,"2022/2023
 ","45.646 km
 ",R$ 103.990
15/03/2024,CHEVROLET,ONIX PLUS LTZ 1.0,"2022/2023
 ","53.408 km
 ",R$ 82.990
15/03/2024,RENAULT,KWID ZEN 1.0,"2022/2023
 ","48.817 km
 ",R$ 55.190
15/03/2024,FIAT,PULSE AUDACE 1.0,"2023/2023
 ","52.505 km
 ",R$ 99.790
15/03/2024,FIAT,ARGO DRIVE 1.0,"2022/2023
 ","50.563 km
 ",R$ 65.990
15/03/2024,FIAT,CRONOS DRIVE 1.0,"2022/2023
 ","54.275 km
 ",R$ 69.990
15/03/2024,VOLKSWAGEN,T-CROSS COMFORTLINE 1.0,"2023/2023
 ","45.002 km
 ",R$ 118.090
15/03/2024,FIAT,NOVA STRADA ENDURANCE CABINE PLUS 1.4,"2022/2022
 ","51.710 km
 ",R$ 74.990
15/03/2024,RENAULT,KWID ZEN 1.0,"2022/2023
 ","41.368 km
 ",R$ 55.590
15/03/2024,FIAT,ARGO 1.0,"2022/2023
 ","43.048 km
 ",R$ 61.490
15/03/2024,CHEVROLET,ONIX PLUS LTZ 1.0,"2022/2023
 ","39.243 km
 ",R$ 84.790
15/03/2024,FIAT,MOBI LIKE 1.0,"2022/2023
 ","20.480 km
 ",R$ 56.790
15/03/2024,FIAT,CRONOS DRIVE 1.3,"2022/2023
 ","73.950 km
 ",R$ 73.490
15/03/2024,HYUNDAI,HB20 VISION 1.0,"2022/2022
 ","83.961 km
 ",R$ 63.490
15/03/2024,HYUNDAI,HB20 VISION 1.0,"2022/2022
 ","58.626 km
 ",R$ 63.490
15/03/2024,FIAT,ARGO 1.0,"2023/2023
 ","52.606 km
 ",R$ 64.690
15/03/2024,HYUNDAI,HB20S COMFORT 1.0,"2022/2023
 ","67.465 km
 ",R$ 74.890
15/03/2024,VOLKSWAGEN,VOYAGE 1.0,"2022/2023
 ","51.533 km
 ",R$ 57.990
15/03/2024,HYUNDAI,HB20 SENSE 1.0,"2022/2023
 ","52.974 km
 ",R$ 63.490
15/03/2024,FIAT,ARGO 1.0,"2022/2023
 ","34.714 km
 ",R$ 65.190
15/03/2024,FIAT,MOBI LIKE 1.0 4P,"2022/2023
 ","60.925 km
 ",R$ 54.290
15/03/2024,TOYOTA,COROLLA ALTIS HYBRID AT 1.8 4P,"2021/2022
 ","25.918 km
 ",R$ 155.190
15/03/2024,FIAT,UNO ATTRACTIVE EVO 1.0 4P,"2020/2020
 ","95.633 km
 ",R$ 47.990
15/03/2024,RENAULT,DUSTER ZEN AT SCE 1.6 4P,"2020/2021
 ","95.258 km
 ",R$ 83.290
15/03/2024,RENAULT,CAPTUR INTENSE AT SCE 1.6 4P,"2019/2020
 ","83.226 km
 ",R$ 84.090
15/03/2024,VOLKSWAGEN,NIVUS HIGHLINE 200 TSI AT 1.0 4P,"2022/2023
 ","3.896 km
 ",R$ 133.990
15/03/2024,FIAT,UNO ATTRACTIVE EVO 1.0 4P,"2020/2020
 ","53.547 km
 ",R$ 49.690
15/03/2024,CHEVROLET,TRACKER PREMIER 1.2,"2022/2023
 ","52.938 km
 ",R$ 118.990
15/03/2024,HYUNDAI,HB20 COMFORT 1.0,"2022/2023
 ","48.228 km
 ",R$ 67.490
15/03/2024,HYUNDAI,CRETA ACTION 1.6,"2022/2022
 ","40.609 km
 ",R$ 96.990
15/03/2024,HYUNDAI,HB20 COMFORT 1.0,"2022/2023
 ","61.832 km
 ",R$ 67.490
15/03/2024,FIAT,ARGO DRIVE 1.0,"2020/2021
 ","38.325 km
 ",R$ 65.990
15/03/2024,FIAT,MOBI LIKE 1.0,"2022/2023
 ","61.073 km
 ",R$ 52.490
15/03/2024,FIAT,MOBI LIKE 1.0,"2022/2023
 ","61.309 km
 ",R$ 52.490
15/03/2024,CITROEN,C4 CACTUS FEEL BUSINESS 1.6,"2022/2022
 ","42.969 km
 ",R$ 79.890
15/03/2024,CHEVROLET,ONIX LT 1.0,"2023/2023
 ","15.520 km
 ",R$ 87.190
15/03/2024,VOLKSWAGEN,GOL MPI 1.0 4P,"2020/2021
 ","51.241 km
 ",R$ 54.690
15/03/2024,FIAT,NOVA STRADA ENDURANCE CABINE PLUS 1.4,"2021/2022
 ","49.467 km
 ",R$ 78.190
15/03/2024,CITROEN,C4 CACTUS FEEL AT 1.6 4P,"2022/2022
 ","40.925 km
 ",R$ 84.190
15/03/2024,FIAT,MOBI LIKE 1.0 4P,"2021/2021
 ","33.712 km
 ",R$ 53.590
15/03/2024,HYUNDAI,HB20 VISION 1.0,"2022/2022
 ","74.916 km
 ",R$ 63.490
15/03/2024,VOLKSWAGEN,VOYAGE MPI 1.0 4P,"2021/2022
 ","43.339 km
 ",R$ 58.590
15/03/2024,FIAT,ARGO FLEX 1.0 4P,"2022/2023
 ","31.843 km
 ",R$ 65.790
15/03/2024,VOLKSWAGEN,GOL MPI 1.0 4P,"2022/2023
 ","57.741 km
 ",R$ 58.590
15/03/2024,FORD,KA SEDAN SE PLUS AT 1.5 4P,"2020/2020
 ","41.973 km
 ",R$ 66.990
15/03/2024,CITROEN,C3 FEEL 1.0,"2022/2023
 ","35.763 km
 ",R$ 73.090
15/03/2024,VOLKSWAGEN,VOYAGE MPI AT 1.6 4P,"2021/2022
 ","77.396 km
 ",R$ 66.390
15/03/2024,FIAT,MOBI LIKE 1.0 4P,"2022/2023
 ","17.259 km
 ",R$ 59.090
15/03/2024,FIAT,ARGO 1.0,"2022/2023
 ","51.826 km
 ",R$ 61.490
15/03/2024,FIAT,MOBI LIKE 1.0 4P,"2022/2023
 ","55.178 km
 ",R$ 55.790
15/03/2024,FIAT,MOBI LIKE 1.0 4P,"2022/2023
 ","15.611 km
 ",R$ 60.290
15/03/2024,FIAT,MOBI LIKE 1.0 4P,"2022/2023
 ","13.411 km
 ",R$ 59.790
15/03/2024,VOLKSWAGEN,GOL MPI MT 1.6 4P,"2021/2022
 ","57.374 km
 ",R$ 60.890
15/03/2024,CHERY,TIGGO 8 TXS 7L 1.6,"2022/2023
 ","9.433 km
 ",R$ 179.590
15/03/2024,RENAULT,KWID ZEN 1.0 4P,"2022/2023
 ","18.187 km
 ",R$ 57.290
15/03/2024,FIAT,UNO ATTRACTIVE EVO 1.0 4P,"2020/2020
 ","95.633 km
 ",R$ 47.990
15/03/2024,TOYOTA,COROLLA ALTIS HYBRID AT 1.8 4P,"2021/2022
 ","25.918 km
 ",R$ 155.190
15/03/2024,FIAT,MOBI LIKE 1.0 4P,"2022/2023
 ","60.925 km
 ",R$ 54.290
15/03/2024,RENAULT,DUSTER ICONIC AT SCE 1.6 4P,"2022/2023
 ","20.352 km
 ",R$ 112.290
15/03/2024,JEEP,RENEGADE LONGITUDE FLEX 4X2 AT 1.8 4P,"2021/2021
 ","30.063 km
 ",R$ 96.090
15/03/2024,FIAT,MOBI LIKE 1.0,"2021/2021
 ","45.505 km
 ",R$ 53.690
15/03/2024,FIAT,ARGO 1.0,"2022/2023
 ","11.209 km
 ",R$ 68.690
15/03/2024,FIAT,MOBI LIKE 1.0 4P,"2022/2022
 ","16.019 km
 ",R$ 57.990
15/03/2024,FIAT,MOBI LIKE 1.0 4P,"2021/2022
 ","22.727 km
 ",R$ 56.490
15/03/2024,FIAT,MOBI LIKE 1.0 4P,"2021/2022
 ","27.667 km
 ",R$ 56.090
15/03/2024,RENAULT,LOGAN ZEN SCE 1.0 4P,"2021/2022
 ","80.902 km
 ",R$ 58.790
15/03/2024,RENAULT,STEPWAY ZEN 1.6,"2022/2023
 ","46.844 km
 ",R$ 76.490
15/03/2024,FIAT,ARGO 1.0,"2022/2022
 ","55.284 km
 ",R$ 64.290
15/03/2024,PEUGEOT,2008 CROSSOVER ALLURE PACK 1.6,"2022/2022
 ","45.361 km
 ",R$ 76.590
15/03/2024,HYUNDAI,HB20 SENSE 1.0,"2022/2023
 ","51.493 km
 ",R$ 63.490
15/03/2024,PEUGEOT,208 HATCH ACTIVE 1.6,"2022/2023
 ","45.958 km
 ",R$ 76.890
15/03/2024,CHEVROLET,ONIX PLUS LTZ 1.0,"2022/2023
 ","14.168 km
 ",R$ 97.890
15/03/2024,CHEVROLET,SPIN PREMIER 7L 1.8,"2022/2023
 ","48.863 km
 ",R$ 105.690
15/03/2024,RENAULT,CAPTUR INTENSE AT SCE 1.6 4P,"2019/2020
 ","45.444 km
 ",R$ 86.990
15/03/2024,VOLKSWAGEN,VOYAGE 1.6,"2021/2022
 ","49.991 km
 ",R$ 65.190
15/03/2024,FIAT,MOBI LIKE 1.0,"2022/2022
 ","54.252 km
 ",R$ 54.190
15/03/2024,HYUNDAI,HB20 COMFORT 1.0,"2022/2023
 ","53.994 km
 ",R$ 67.490
15/03/2024,HYUNDAI,HB20 SENSE 1.0,"2022/2023
 ","42.327 km
 ",R$ 63.490
15/03/2024,HYUNDAI,HB20S COMFORT 1.0,"2022/2023
 ","52.540 km
 ",R$ 76.390
15/03/2024,CHEVROLET,ONIX PLUS LTZ 1.0,"2022/2023
 ","28.145 km
 ",R$ 94.790
15/03/2024,FIAT,MOBI LIKE 1.0 4P,"2022/2023
 ","10.441 km
 ",R$ 58.890
15/03/2024,HYUNDAI,HB20 PLATINUM 1.0,"2022/2022
 ","68.314 km
 ",R$ 79.690
15/03/2024,VOLKSWAGEN,TIGUAN ALLSPACE R-LINE 7L 2.0,"2019/2020
 ","62.167 km
 ",R$ 183.790
15/03/2024,VOLKSWAGEN,VOYAGE 1.0,"2022/2023
 ","51.533 km
 ",R$ 57.990
15/03/2024,FIAT,ARGO DRIVE 1.0,"2022/2023
 ","51.774 km
 ",R$ 65.990
15/03/2024,HYUNDAI,HB20 SENSE 1.0,"2022/2023
 ","52.974 km
 ",R$ 63.490
15/03/2024,FIAT,ARGO 1.0,"2022/2023
 ","34.714 km
 ",R$ 65.190
15/03/2024,HYUNDAI,HB20 LIMITED 1.0,"2022/2023
 ","64.187 km
 ",R$ 69.990
15/03/2024,HYUNDAI,HB20 COMFORT 1.0,"2022/2023
 ","58.869 km
 ",R$ 67.490
15/03/2024,VOLKSWAGEN,T-CROSS COMFORTLINE 1.0,"2022/2023
 ","44.587 km
 ",R$ 112.990
15/03/2024,FIAT,ARGO 1.0,"2022/2023
 ","33.266 km
 ",R$ 65.490
15/03/2024,VOLKSWAGEN,GOL MPI MT 1.6 4P,"2021/2022
 ","51.150 km
 ",R$ 61.890
15/03/2024,TOYOTA,COROLLA XEI 2.0,"2022/2023
 ","48.403 km
 ",R$ 128.990
15/03/2024,VOLKSWAGEN,VIRTUS COMFORTLINE 1.0,"2021/2021
 ","50.364 km
 ",R$ 87.290
